id,voxel,cls,choice,correct
21,0.1,lamp,lamp,1
21,0.1,chair,chair,1
22,0.2,airplane,airplane,1
22,0.05,chair,chair,1
22,0.2,stool,piano,0
22,0.05,bowl,bowl,1
22,0.2,lamp,lamp,1
22,0.1,piano,piano,1
22,0.01,lamp,lamp,1
22,0.1,lamp,lamp,1
22,0.05,table,table,1
22,0.1,person,person,1
22,0.2,bottle,chair,0
22,0.01,piano,piano,1
22,0.1,chair,chair,1
22,0.1,bowl,bowl,1
22,0.1,table,table,1
22,0.2,cup,table,0
22,0.1,stool,stool,1
22,0.1,airplane,airplane,1
22,0.05,cup,bottle,0
22,0.01,stool,chair,0
22,0.05,lamp,lamp,1
22,0.05,airplane,airplane,1
22,0.2,table,table,1
22,0.01,bowl,bowl,1
22,0.1,bottle,bottle,1
22,0.05,piano,piano,1
22,0.2,person,person,1
22,0.01,airplane,airplane,1
22,0.01,cup,cup,1
22,0.2,chair,chair,1
22,0.2,bowl,bowl,1
22,0.05,bottle,bottle,1
22,0.05,person,person,1
22,0.01,table,table,1
22,0.01,chair,chair,1
22,0.01,person,person,1
22,0.2,piano,chair,0
22,0.05,stool,stool,1
22,0.1,cup,cup,1
22,0.01,bottle,bottle,1
23,0.01,table,table,1
23,0.05,person,person,1
23,0.1,bottle,bottle,1
23,0.05,table,table,1
23,0.05,piano,piano,1
23,0.1,cup,cup,1
23,0.01,bottle,bottle,1
23,0.1,stool,chair,0
23,0.05,chair,chair,1
23,0.2,table,table,1
23,0.05,lamp,lamp,1
23,0.2,bottle,stool,0
23,0.01,cup,cup,1
23,0.05,airplane,airplane,1
23,0.01,piano,piano,1
23,0.05,bowl,bowl,1
23,0.1,chair,chair,1
23,0.01,stool,stool,1
23,0.1,airplane,airplane,1
23,0.1,piano,piano,1
23,0.01,person,person,1
23,0.2,stool,stool,1
23,0.2,person,person,1
23,0.2,lamp,lamp,1
23,0.1,bowl,bowl,1
23,0.01,chair,chair,1
23,0.01,airplane,airplane,1
